experiment_id,model_name,compression_method,budget_label,calibration_replicate,seed,sparsity,quantisation_bits,status,git_commit,model_revision,method_version,host,perplexity,perplexity_retention,total_nll,total_tokens,num_sequences,sequence_length,evaluation_device,eval_split,dataset_fingerprint,calibration_fingerprint,measured_sparsity,targeted_parameters
pythia-160m_quantisation_aggressive_s00_b4_rep2,pythia-160m,quantisation,aggressive,2,1234,0.0,4,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",51.74256962056026,69.29975919211998,1032473.3486328125,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_aggressive_s00_b4_rep3,pythia-160m,quantisation,aggressive,3,1234,0.0,4,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",51.83495755617217,69.17624290133834,1032940.083984375,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_aggressive_s00_b4_rep4,pythia-160m,quantisation,aggressive,4,1234,0.0,4,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",50.90751061675696,70.43651459763242,1028216.4990234375,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_aggressive_s00_b4_rep5,pythia-160m,quantisation,aggressive,5,1234,0.0,4,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",50.99955367337306,70.30939207137519,1028689.1142578125,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_aggressive_s00_b4_rep6,pythia-160m,quantisation,aggressive,6,1234,0.0,4,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",52.26731909076308,68.604008720241,1035113.3364257812,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_aggressive_s00_b4_rep7,pythia-160m,quantisation,aggressive,7,1234,0.0,4,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",52.4559039073955,68.35736966837001,1036055.6274414062,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_moderate_s00_b8_rep0,pythia-160m,quantisation,moderate,0,1234,0.0,8,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",35.86733649190741,99.97250884507038,936597.306640625,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_moderate_s00_b8_rep1,pythia-160m,quantisation,moderate,1,1234,0.0,8,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",35.87423192418897,99.9532930004994,936647.6000976562,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_moderate_s00_b8_rep2,pythia-160m,quantisation,moderate,2,1234,0.0,8,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",35.88814826325522,99.91453413487112,936749.0727539062,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_moderate_s00_b8_rep3,pythia-160m,quantisation,moderate,3,1234,0.0,8,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",35.86929919298988,99.96703853603893,936611.623046875,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_moderate_s00_b8_rep4,pythia-160m,quantisation,moderate,4,1234,0.0,8,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",35.88654070047884,99.91900987654918,936737.3530273438,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
